base_symbol,quote_symbol,hedge_ratio,half_life,window,10th percentile,90th percentile
KSMUSDT,ONEUSDT,1176.023,14.0,28,7.546533234000002,31.202089792
KSMUSDT,KLAYUSDT,159.83,11.0,22,-5.243504600000012,16.08250999999998
NEARUSDT,ZENUSDT,0.39,13.0,26,-2.7763400000000003,-1.3058800000000004
NEARUSDT,XEMUSDT,184.616,8.0,16,-5.292040320000001,-3.554673280000001
NEARUSDT,IOTXUSDT,234.688,11.0,22,-4.714724223999999,-2.0395496959999986
NEARUSDT,CELOUSDT,4.851,6.0,12,-1.4940371999999995,0.2812104000000009
NEARUSDT,ARUSDT,0.504,18.0,36,-3.628016000000001,-0.6823119999999986
NEARUSDT,FLOWUSDT,2.512,9.0,18,-1.4036064,-0.1848175999999998
FILUSDT,COTIUSDT,96.406,6.0,12,-4.717257720000002,-1.8748408000000003
FILUSDT,IOTXUSDT,288.992,4.0,8,-3.5997276160000005,-1.2322851199999996
FILUSDT,CELOUSDT,6.226,4.0,8,-0.5748988000000003,1.8451404000000005
FILUSDT,MINAUSDT,8.423,5.0,10,-1.2306950000000012,0.7142000000000004
FILUSDT,CKBUSDT,1911.942,4.0,8,-2.5948729200000007,-0.4323688479999998
ZENUSDT,XEMUSDT,448.108,4.0,8,-6.797347199999998,-2.925384960000001
ZENUSDT,COTIUSDT,188.528,10.0,20,-7.714540799999999,-1.100418239999999
ZENUSDT,CELOUSDT,12.096,6.0,12,1.0752576,6.178640000000001
ZENUSDT,ARUSDT,1.305,7.0,14,-3.053489999999999,2.248210000000004
ZENUSDT,FLOWUSDT,6.182,4.0,8,2.2993528,5.7321296
XEMUSDT,COTIUSDT,0.403,6.0,12,-0.0027851199999999,0.0088512599999999
XEMUSDT,HBARUSDT,0.445,5.0,10,0.0080353,0.0172072
XEMUSDT,ONEUSDT,0.585,5.0,10,0.02324534,0.03519378
XEMUSDT,DGBUSDT,4.004,4.0,8,-0.0041719279999999,0.006206952
XEMUSDT,IOTXUSDT,1.244,4.0,8,0.000957888,0.009431728
XEMUSDT,ARUSDT,0.003,4.0,8,0.0034859999999999,0.0136959999999999
XEMUSDT,FLOWUSDT,0.014,4.0,8,0.0147615999999999,0.0235683999999999
COTIUSDT,HBARUSDT,1.097,9.0,18,0.00375954,0.03879136
COTIUSDT,ONEUSDT,1.455,10.0,20,0.0417113899999999,0.07856097
COTIUSDT,IOTXUSDT,3.091,7.0,14,-0.011761944,0.020136192
COTIUSDT,ARUSDT,0.007,9.0,18,0.0042,0.036162
COTIUSDT,KLAYUSDT,0.187,9.0,18,0.02875086,0.07011374
COTIUSDT,FLOWUSDT,0.033,8.0,16,0.0249936,0.0581968
COTIUSDT,CKBUSDT,20.723,6.0,12,-0.0047214879999999,0.030517238
HBARUSDT,ONEUSDT,1.314,7.0,14,0.028409636,0.0425691079999999
HBARUSDT,CELOUSDT,0.058,5.0,10,0.0096676,0.0294831999999999
HBARUSDT,ARUSDT,0.006,8.0,16,-0.01042,0.015036
HBARUSDT,KLAYUSDT,0.177,8.0,16,0.01474084,0.03262442
HBARUSDT,MINAUSDT,0.078,5.0,10,0.002182,0.022536
HBARUSDT,CKBUSDT,18.677,7.0,14,-0.0161783799999999,0.0068934999999999
ONEUSDT,CELOUSDT,0.044,6.0,12,-0.0220203999999999,-0.0075187999999999
ONEUSDT,KLAYUSDT,0.135,6.0,12,-0.015614,-0.0042874
ONEUSDT,MINAUSDT,0.059,7.0,14,-0.0284063999999999,-0.0100485999999999
DGBUSDT,IOTXUSDT,0.309,4.0,8,-7.610800000000043e-05,0.002593354
DGBUSDT,CELOUSDT,0.007,4.0,8,0.0022378,0.005496
DGBUSDT,MINAUSDT,0.009,4.0,8,0.001989,0.0046566
DGBUSDT,CKBUSDT,2.166,4.0,8,0.000165624,0.0028944
IOTXUSDT,CELOUSDT,0.021,5.0,10,0.0068319999999999,0.0152694
IOTXUSDT,ARUSDT,0.002,6.0,12,0.0041799999999999,0.0123299999999999
IOTXUSDT,MINAUSDT,0.028,6.0,12,0.0027723999999999,0.0136604
IOTXUSDT,CKBUSDT,6.834,5.0,10,-0.0027543479999999,0.006834952
CELOUSDT,ARUSDT,0.107,6.0,12,-0.5701399999999999,-0.0824300000000001
CELOUSDT,KLAYUSDT,3.061,5.0,10,-0.0990632799999999,0.2204136
CELOUSDT,CKBUSDT,317.001,5.0,10,-0.59834402,-0.1548642859999998
ARUSDT,CKBUSDT,2895.249,8.0,16,-2.7731024700000004,1.9967235200000013
KLAYUSDT,MINAUSDT,0.438,6.0,12,-0.1317575999999999,0.0040076
MINAUSDT,CKBUSDT,235.676,5.0,10,-0.34436118399999993,-0.028035383999999917
